名称,hist_1,hist_2,hist_3,hist_4,hist_5,hist_6,hist_7,hist_8
G11,-0.1846518,-0.3807268,1.4962413,-0.93895924,-0.1809963,0.0,0.0,0.0
G12,-0.1846518,-0.38376802,1.8212048,-1.211087,-0.22381082,0.0,0.0,0.0
G13,-0.1846518,-0.38376802,1.6610779,-1.0709,-0.22381082,0.0,0.0,0.0
G14,-0.1846518,-0.38376802,0.49544835,-0.05042097,-0.22381082,0.0,0.0,0.0
G15,-0.1846518,-0.38376802,1.8212048,-1.211087,-0.22381082,0.0,0.0,0.0
G16,-0.1846518,-0.38376802,1.8212048,-1.211087,-0.22381082,0.0,0.0,0.0
G17,-0.1846518,-0.38376802,1.8212048,-1.211087,-0.22381082,0.0,0.0,0.0
G18,-0.1846518,-0.38376802,1.8212048,-1.211087,-0.22381082,0.0,0.0,0.0
G19,-0.1846518,-0.368562,1.8094307,-1.211087,-0.22381082,0.0,0.0,0.0
G20,-0.1846518,2.730424,-0.59011775,-1.211087,-0.22381082,0.0,0.0,0.0
G21,-0.1846518,2.730424,-0.59011775,-1.211087,-0.22381082,0.0,0.0,0.0
G22,-0.17366533,2.7243416,-0.59011775,-1.211087,-0.22381082,0.0,0.0,0.0
H1,-0.1846518,-0.38376802,-0.59011775,0.42167938,1.762783,0.0,0.0,0.0
H2,-0.1846518,-0.38376802,-0.59011775,0.28355396,2.3364975,0.0,0.0,0.0
H3,-0.1846518,-0.38376802,-0.59011775,0.87934875,-0.13818178,0.0,0.0,0.0
H4,-0.1846518,-0.38376802,-0.59011775,0.89377975,-0.1981221,0.0,0.0,0.0
H5,-0.1846518,-0.38376802,-0.59011775,0.89996445,-0.22381082,0.0,0.0,0.0
H6,-0.1846518,-0.38376802,-0.59011775,0.89996445,-0.22381082,0.0,0.0,0.0
H7,-0.1846518,-0.38376802,-0.59011775,0.89996445,-0.22381082,0.0,0.0,0.0
H8,-0.1846518,-0.38376802,-0.59011775,0.89996445,-0.22381082,0.0,0.0,0.0
H9,-0.1846518,-0.33206758,-0.5571504,0.8360557,-0.22381082,0.0,0.0,0.0
H10,-0.1846518,-0.38376802,-0.59011775,0.89996445,-0.22381082,0.0,0.0,0.0
H11,-0.1846518,-0.38376802,-0.59011775,0.89996445,-0.22381082,0.0,0.0,0.0
H12,-0.1846518,-0.38376802,-0.59011775,0.89996445,-0.22381082,0.0,0.0,0.0
H13,-0.1846518,-0.38376802,-0.59011775,0.89996445,-0.22381082,0.0,0.0,0.0
H14,-0.1846518,-0.38376802,-0.59011775,0.89996445,-0.22381082,0.0,0.0,0.0
H15,-0.1846518,-0.38376802,-0.59011775,0.89996445,-0.22381082,0.0,0.0,0.0
H16,-0.1846518,-0.38376802,-0.59011775,0.89996445,-0.22381082,0.0,0.0,0.0
H17,-0.1846518,-0.38376802,-0.59011775,0.89996445,-0.22381082,0.0,0.0,0.0
H18,-0.1846518,-0.38376802,1.8212048,-1.211087,-0.22381082,0.0,0.0,0.0
H19,-0.1846518,-0.38376802,1.8000115,-1.1925328,-0.22381082,0.0,0.0,0.0
H20,-0.1846518,-0.38376802,1.8212048,-1.211087,-0.22381082,0.0,0.0,0.0
H21,-0.1846518,-0.38376802,1.8212048,-1.211087,-0.22381082,0.0,0.0,0.0
I1,-0.1846518,-0.38376802,-0.59011775,0.89996445,-0.22381082,0.0,0.0,0.0
I2,-0.1846518,-0.38376802,-0.59011775,0.86491776,-0.07824144,0.0,0.0,0.0
I3,-0.1846518,-0.38376802,-0.59011775,0.6917455,0.6410426,0.0,0.0,0.0
I4,-0.1846518,-0.38376802,-0.59011775,0.89996445,-0.22381082,0.0,0.0,0.0
I5,-0.1846518,-0.38376802,-0.59011775,0.89996445,-0.22381082,0.0,0.0,0.0
I6,-0.1846518,-0.38376802,-0.59011775,0.89996445,-0.22381082,0.0,0.0,0.0
I7,-0.1846518,-0.38376802,-0.59011775,0.89996445,-0.22381082,0.0,0.0,0.0
I8,-0.1846518,-0.38376802,-0.59011775,0.89996445,-0.22381082,0.0,0.0,0.0
I9,-0.1846518,-0.38376802,-0.59011775,-1.1987175,8.493226,0.0,0.0,0.0
I10,-0.1846518,-0.38376802,1.8047211,-1.196656,-0.22381082,0.0,0.0,0.0
I11,-0.1846518,-0.38376802,1.8212048,-1.211087,-0.22381082,0.0,0.0,0.0
I12,-0.1846518,-0.38376802,1.8141403,-1.2049022,-0.22381082,0.0,0.0,0.0
I13,-0.1846518,-0.38376802,-0.1120919,0.481465,-0.22381082,0.0,0.0,0.0
I14,-0.1846518,-0.38376802,-0.5665697,0.87934875,-0.22381082,0.0,0.0,0.0
I15,-0.1846518,-0.38376802,1.8000115,-1.1925328,-0.22381082,0.0,0.0,0.0
I16,-0.1846518,-0.38376802,1.8212048,-1.211087,-0.22381082,0.0,0.0,0.0
I17,-0.1846518,-0.38376802,1.8212048,-1.211087,-0.22381082,0.0,0.0,0.0
I18,-0.1846518,-0.38376802,1.8212048,-1.211087,-0.22381082,0.0,0.0,0.0
I19,-0.1846518,-0.3807268,1.8188499,-1.211087,-0.22381082,0.0,0.0,0.0
I20,-0.1846518,-0.27428472,1.7364317,-1.211087,-0.22381082,0.0,0.0,0.0
I21,-0.1846518,-0.3472736,1.792947,-1.211087,-0.22381082,0.0,0.0,0.0
I22,-0.1846518,-0.32598516,1.7764634,-1.211087,-0.22381082,0.0,0.0,0.0
I23,-0.1846518,1.1915752,0.6014147,-1.211087,-0.22381082,0.0,0.0,0.0
I24,-0.1846518,2.730424,-0.59011775,-1.211087,-0.22381082,0.0,0.0,0.0
I25,-0.1846518,2.7213004,-0.5830533,-1.211087,-0.22381082,0.0,0.0,0.0
J1,-0.1846518,-0.38376802,-0.59011775,0.7886395,0.23858602,0.0,0.0,0.0
J2,-0.1846518,-0.38376802,-0.59011775,0.4361104,1.7028427,0.0,0.0,0.0
J3,-0.1846518,-0.38376802,-0.59011775,0.53506595,1.2918233,0.0,0.0,0.0
J4,-0.1846518,-0.38376802,-0.59011775,0.60309786,1.0092474,0.0,0.0,0.0
J5,-0.1846518,-0.38376802,-0.59011775,0.79482424,0.21289732,0.0,0.0,0.0
J6,-0.1846518,-0.38376802,-0.59011775,0.89996445,-0.22381082,0.0,0.0,0.0
J7,-0.1846518,-0.38376802,-0.59011775,0.89996445,-0.22381082,0.0,0.0,0.0
J8,-0.1846518,-0.38376802,-0.59011775,0.89996445,-0.22381082,0.0,0.0,0.0
J9,-0.1846518,-0.38376802,-0.59011775,-0.48335144,5.5218983,0.0,0.0,0.0
J10,-0.1846518,2.730424,-0.59011775,-1.211087,-0.22381082,0.0,0.0,0.0
J11,-0.1846518,2.730424,-0.59011775,-1.211087,-0.22381082,0.0,0.0,0.0
J12,-0.1846518,2.7273827,-0.58776295,-1.211087,-0.22381082,0.0,0.0,0.0
J13,-0.1846518,0.65632343,1.0158607,-1.211087,-0.22381082,0.0,0.0,0.0
J14,-0.1846518,-0.18913102,1.6704971,-1.211087,-0.22381082,0.0,0.0,0.0
J15,-0.1846518,-0.37160322,1.8117856,-1.211087,-0.22381082,0.0,0.0,0.0
J16,-0.1846518,2.730424,-0.59011775,-1.211087,-0.22381082,0.0,0.0,0.0
J17,-0.1846518,2.6087759,-0.49592546,-1.211087,-0.22381082,0.0,0.0,0.0
J18,-0.1846518,2.730424,-0.59011775,-1.211087,-0.22381082,0.0,0.0,0.0
J19,-0.1846518,2.730424,-0.59011775,-1.211087,-0.22381082,0.0,0.0,0.0
J20,-0.1846518,2.730424,-0.59011775,-1.211087,-0.22381082,0.0,0.0,0.0
