名称,r_mean,g_mean,b_mean,r_std,g_std,b_std
F12,0.7102469262618435,0.7953242164037951,0.8870202490048258,-0.5288505067489793,-0.4746645700046397,-0.3089144981195998
F13,0.5278642993267487,0.7256051716667782,0.7500329750669591,-0.5555635928280347,-0.49926712823902636,-0.32795219357126826
F14,0.5135620230614495,0.7505416506993342,0.8872818748144856,-0.1122175731332783,-0.09094866457503917,0.3442964948925163
F15,0.36819368710094896,0.6356856458530009,0.6770132115909113,-0.17795486073411476,-0.15149222893835915,-0.058840642018596026
F16,0.38976151970902007,0.4828772220139662,0.44241334806897636,-0.18627381459274364,-0.15915392501309922,-0.03182535633802258
F17,0.05806312856420207,0.32468844675576247,0.16577021693471297,-0.060198225254884365,-0.07535228882693319,0.1481937419664256
F18,-0.16716911806172902,0.20222907104162147,0.057117018183001626,-0.20388628994177244,-0.1753748868721605,-0.07732127171525076
F19,-0.1435417576714548,-0.015240222846947841,-0.24440672744990793,1.7625281121297627,2.413019629072817,3.3518962988892542
F20,-0.2403395634349995,-0.19027884117236962,-0.6209909178742116,0.5280327684585977,0.5109487518433702,0.7114110158791048
F21,-0.3055007340997024,-0.5044978075864758,-1.1527977011696695,0.7827927564258116,1.0041552959864786,-0.33474582923320173
F22,-0.24091165448561144,-0.5139375858248981,-1.1539750173131387,0.14424358087360206,0.27098203872146326,-0.36772275077592975
G1,0.7667123129572446,0.960375356046927,1.1817940487485128,-0.3940362673152145,-0.3459747084678448,-0.20933304938104505
G2,0.9722074183370628,1.13051688805071,1.3613478419180276,-0.10008769319159871,-0.185528315052706,0.4057106296214513
G3,0.8600203633120562,0.9992620875615201,1.1582215632981656,-0.3106125698242604,-0.3239916077587898,-0.21249250563445696
G4,0.7320435952901594,0.9395627391799617,1.1113120556261649,-0.045696120279639825,-0.029682889710081532,0.03541659258702026
G5,0.49822998290504883,0.8080179796322539,0.9809439146726909,-0.33731095322468246,-0.29556088780729994,-0.17548823649376588
G6,0.5377042653972746,0.764717426893552,0.8527472679393931,-0.4185758943699132,-0.34724932408827064,0.15456654789618524
G7,0.6401657725618777,0.8138493784757843,0.9727027016684074,0.0895627720006314,0.22869434037231703,0.7303602276517951
G8,0.5335280007278072,0.7643630324886965,0.9422494574240078,1.188293852348543,1.1187111768694395,0.9240549321352499
G9,0.37116856056413117,0.7363336568319476,0.9462784948927685,-0.320710151881911,-0.28296881510801897,-0.1605784849972422
G10,0.07511144187243866,0.1407255329626172,-0.15357024633602837,-0.3600027124733589,-0.3191569779907496,-0.1885812324088458
G11,-0.21173501090440117,-0.27253056077200183,-0.7773123391459369,5.34353259536377,5.961458270957884,8.408494117142697
G12,-0.21911498545729555,-0.2017483328204186,-0.7374405657537847,-0.2421146211196186,-0.15133961638831825,0.5194640909782519
G13,0.34536725418153147,-0.27784647684483355,-1.1009696282760648,2.054789940526858,2.1278805087709745,2.5502214764196114
G14,0.5643637083557922,-0.11018570567503876,-1.106777721250512,1.3453614986426974,0.38283297124333415,0.14483678123606442
G15,0.1978249722287054,-0.44998550458507436,-1.160934263850089,-0.5566151651938395,-0.5002356187492886,-0.5295153104298629
G16,0.14616515035844488,-0.4742776301542568,-1.153504090855751,-0.2079350648519426,-0.20541457638191826,-0.5022025208037428
G17,-0.3462908260083356,-0.790075262553628,-1.1400826868202036,1.9502841230410257,1.9337646119409952,0.20547319964121
G18,-0.5066479474948697,-0.9168195887992031,-1.1688353633018147,-0.45794928474424673,-0.33210810864690204,-0.6567807403389154
G19,-0.7067653969989355,-1.0585129153950443,-1.147120421100052,-0.35485060787419753,-0.3080507916006797,-0.35771829545069594
G20,-1.3936751214687233,-1.4859447853238812,-1.150913995340119,-0.6302436869975525,-0.6793770593390484,-0.5712594668899752
G21,-1.6504295849833737,-1.6649461774490502,-1.1641784238898705,-0.6975505235447282,-0.6791692934447071,-0.6247113549893829
G22,-2.287166924314492,-2.0529113977462576,-1.1611174019168509,-0.440262538933555,-0.21881324054394752,-0.568406978306917
H1,0.6865623567665081,0.9984888634054718,1.3349759603043205,2.17389989977406,2.474268734808005,2.257130379519115
H2,0.9092774027697466,1.1053548853059731,1.4066875947320694,-0.06384202729799789,-0.046395138261736135,0.022484494420322465
