名称,L*,a*,b*
I23,-1.1859119908860185,1.2992730525565288,0.7738318129010161
I24,-1.3919900181366258,1.5438707535910328,0.5406874361657757
I25,-1.3372017962293798,2.014260103707023,0.6505087066099856
J1,1.0251415428589308,-0.8893705127098762,-0.9683804280940125
J2,1.0746717780188404,-0.7966495350427819,-0.9427079233148465
J3,1.068993152331717,-0.8731830249528483,-0.9915807657462957
J4,1.0614567046605348,-0.8569955371958202,-0.9681902613919445
J5,1.0111202448660337,-0.8893705127098762,-0.9641967606485188
J6,0.8113518017122301,-0.8588999475201764,-0.6281721980945466
J7,0.8645626275952751,-0.8893705127098762,-0.6153359457049636
J8,0.8571663929040219,-0.8893705127098762,-0.9074320000812518
J9,1.142394647324534,-0.5747857322552804,-0.6213261968201024
J10,-1.694499522333384,1.3104614632121216,0.16206553234859492
J11,-1.6005217725359902,1.2879656162556636,0.2516340490225739
J12,-1.3263352902848846,1.220716126676834,0.5914619456179039
J13,-1.1567827443057745,1.6802741430730483,0.8882170841948556
J14,-1.0279620689960312,1.6874156817893842,0.9679920157123378
J15,-1.049870347109933,1.7072929645498525,0.9938546871935717
J16,-1.383787558810781,1.7913250701120713,0.6112392826329651
J17,-1.2986782799938947,1.6768223993601525,0.6749451278257103
J18,-1.5971566610176948,1.7077690671309416,0.25096846556533625
J19,-1.8615282346737725,1.8814274835831757,-0.05795734194396068
J20,-1.5990144830017539,1.6920576819550026,0.2431716307805525
J21,-1.6955861729278336,1.7535939405607635,0.14846861315074034
J22,-1.5955091585035295,1.5666046518380354,0.18022645239607896
J23,-1.9176484798903437,1.6120724483320406,-0.17937878121431222
J24,-2.134522906595482,1.7028890156747787,-0.4742322527705849
J25,-2.15527442762497,1.670633065805995,-0.5112196763227906
J26,-2.6540470504773075,1.9504623578410893,-1.3241823276630458
J27,-2.770318664083408,2.0354466685654864,-1.4708008549573934
J28,-2.4926268573340775,2.0289002580755118,-1.016587687068224
J29,-2.955925596264385,1.5585109079595214,-1.7660346599178018
J30,-2.4909793548199124,2.1987498538790335,-1.0010891008496905
K1,0.8721341285114396,-0.8817528714124513,-1.031040356425384
K2,0.8153478716402057,-0.8796104097975506,-0.9466063407072384
K3,0.9379641225880923,-0.8043862019854792,-0.9682853447429784
K4,0.9297967165072295,-0.8893705127098762,-1.0474897761542572
K5,0.7955427882252384,-0.8893705127098762,-0.9077172501343537
K6,0.7816266499672879,-0.7685594827585275,-0.8864185795027493
K7,0.7671847130346037,-0.7814142524479321,-0.8254701514899887
K8,0.4517756146843801,-0.6456059911922779,-0.223687622796132
K10,0.26396032806952147,-0.7671311750152603,0.13753402778183632
K11,0.3150329060086497,-0.6285853239183441,0.12032394124469176
K12,0.14505972108975276,-0.5487191159406544,0.260571884019765
K13,0.44970747323042776,-0.34161449316691367,0.6389085377838439
K14,0.2580713829125046,0.0029647498962928915,1.0175304416010247
K15,0.06811784835372911,0.25732255384312275,1.3565025880370492
K16,0.009403663008471886,0.11544398467858312,1.406516430680906
K17,-0.2174609385166056,0.2550610665829497,1.634906639864449
K18,-0.4350714833663709,0.5946412325447211,1.515767201018912
K19,-0.7847977085542105,1.021586222136335,1.210929977604075
K20,-0.3757964461013978,1.1398977135369661,1.61446371939215
K21,-0.7259783634740066,1.5166138808236842,1.3142855801779763
